881A361A	11	322104211212	5
7A92A01	11	48A2B73	12
1A97A49B4	13	11022311133124	5
1201111002	3	23507	11
9199	11	5731	13
30	12	36	10
5102235	7	605862	10
3024123	7	200020201020	3
11333	4	465	9
876385314	9	12306540655	7
11010	3	11010	3
23	7	25	6
6DD30B4	16	12313103002310	4
39723	12	231713	8
58522720	9	24242224113	5
0	2	0	10
30401C8	14	22742644	10
6930B752	13	1330243243204	5
111	2	7	16
70C2	13	444122	5
30606	7	1110101001111	2
ECF	16	154B	14
241212343	5	10100212312	4
28009770	13	E621D03	15
4F0A	16	14225	11
639	10	453	12
64D2AC	14	4775D4	15
45403	6	190B	16
